Year,State,Energy Source,"Sum of CO2
(Metric Tons)","Sum of SO2
(Metric Tons)","Sum of NOx
(Metric Tons)"
1996,OR,Coal,3728392,11582,5454
1996,OR,Natural Gas,3807888,18,4972
1996,OR,Other,141094,288,848
1996,OR,Petroleum,20188,88,44
1996,OR,Wood and Wood Derived Fuels,0,3988,2640
1996,PA,All Sources,231596190,2194938,585770
1996,PA,Coal,216371838,2101972,517048
1996,PA,Natural Gas,4152654,14,17360
1996,PA,Other,2419530,5432,13526
1996,PA,Other Biomass,0,8,2320
1996,PA,Other Gases,2436,72,2218
1996,PA,Petroleum,8649732,80650,30700
1996,PA,Wood and Wood Derived Fuels,0,6794,2602
1996,RI,All Sources,7322740,2212,15100
1996,RI,Natural Gas,6900568,26,11838
1996,RI,Other Biomass,0,2,2566
1996,RI,Petroleum,422172,2184,696
1996,SC,All Sources,60805188,427246,254422
1996,SC,Coal,59209376,395606,239320
1996,SC,Natural Gas,469964,2,990
1996,SC,Other,194238,340,1002
1996,SC,Other Biomass,0,190,338
1996,SC,Other Gases,8114,14,342
1996,SC,Petroleum,923496,8112,3188
1996,SC,Wood and Wood Derived Fuels,0,22984,9240
1996,SD,All Sources,5321196,29906,31918
1996,SD,Coal,5214874,29788,31408
1996,SD,Natural Gas,78044,0,130
1996,SD,Other,0,74,274
1996,SD,Petroleum,28278,42,104
1996,TN,All Sources,116993960,1114562,502164
1996,TN,Coal,115499714,1106916,492776
1996,TN,Natural Gas,819530,2,1956
1996,TN,Other,258816,568,1436
1996,TN,Other Biomass,0,0,562
1996,TN,Other Gases,0,2,52
1996,TN,Petroleum,415900,702,2174
1996,TN,Wood and Wood Derived Fuels,0,6372,3208
1996,TX,All Sources,465492190,1378252,1007018
1996,TX,Coal,281187678,1240194,460588
1996,TX,Natural Gas,179659044,984,385312
1996,TX,Other,33208,354,5138
1996,TX,Other Biomass,0,426,1202
1996,TX,Other Gases,0,90,12632
1996,TX,Petroleum,4612260,107168,132774
1996,TX,Wood and Wood Derived Fuels,0,29024,9362
1996,UT,All Sources,59893570,59488,137574
1996,UT,Coal,59316940,59358,134630
1996,UT,Geothermal,9860,0,0
1996,UT,Natural Gas,482924,2,2252
1996,UT,Other Gases,0,20,520
1996,UT,Petroleum,83846,104,172
1996,VA,All Sources,79235564,524086,263228
1996,VA,Coal,70309666,477188,221184
1996,VA,Natural Gas,4503168,20,12652
1996,VA,Other,1466082,3126,7866
1996,VA,Other Biomass,0,42,3016
1996,VA,Other Gases,868,0,0
1996,VA,Petroleum,2955780,16470,8784
1996,VA,Wood and Wood Derived Fuels,0,27244,9726
1996,VT,All Sources,17082,114,1158
1996,VT,Natural Gas,2602,0,216
1996,VT,Petroleum,14480,30,206
1996,VT,Wood and Wood Derived Fuels,0,84,736
1996,WA,All Sources,24122138,163190,64854
1996,WA,Coal,17309622,145672,39398
1996,WA,Natural Gas,5915968,34,16250
1996,WA,Other,207294,434,1276
1996,WA,Other Biomass,0,344,860
1996,WA,Other Gases,0,2,50
1996,WA,Petroleum,689254,2994,2344
1996,WA,Wood and Wood Derived Fuels,0,13708,4678
1996,WI,All Sources,92046336,461354,227688
1996,WI,Coal,88248324,411748,209506
1996,WI,Natural Gas,2037694,2,4302
1996,WI,Other,147778,3554,1402
1996,WI,Other Biomass,0,14,2826
1996,WI,Petroleum,1612540,29482,4464
1996,WI,Wood and Wood Derived Fuels,0,16538,5184
1996,WV,All Sources,158621676,1262614,571592
1996,WV,Coal,157066440,1260620,566620
1996,WV,Natural Gas,1019842,4,2368
1996,WV,Other,0,0,2
1996,WV,Other Gases,0,66,1688
1996,WV,Petroleum,535394,1920,914
1996,WY,All Sources,84872672,192648,198980
1996,WY,Coal,84185252,191418,196700
1996,WY,Natural Gas,499192,2,1560
1996,WY,Other,0,0,66
1996,WY,Other Gases,0,0,230
1996,WY,Petroleum,188228,1226,422
1997,AK,All Sources,9004672,33190,40112
1997,AK,Coal,2854318,25272,6356
1997,AK,Natural Gas,4710246,20,18462
1997,AK,Other Biomass,0,26,46
1997,AK,Petroleum,1440108,7460,15142
1997,AK,Wood and Wood Derived Fuels,0,404,106
1997,AL,All Sources,145840620,1136828,433482
1997,AL,Coal,138834890,1073992,388932
1997,AL,Natural Gas,6032704,28,18896
1997,AL,Other,33986,360,496
1997,AL,Other Biomass,0,186,334
1997,AL,Other Gases,0,42,1098
1997,AL,Petroleum,939040,4070,1676
1997,AL,Wood and Wood Derived Fuels,0,58134,22044
1997,AR,All Sources,53259404,185200,101720
1997,AR,Coal,46982364,157338,75334
1997,AR,Natural Gas,6094684,32,15244
1997,AR,Other,41268,430,88
1997,AR,Other Biomass,0,0,372
1997,AR,Petroleum,141088,518,932
1997,AR,Wood and Wood Derived Fuels,0,26882,9750
1997,AZ,All Sources,72679900,237640,151628
1997,AZ,Coal,69609456,236168,139934
1997,AZ,Natural Gas,2957714,16,11218
1997,AZ,Petroleum,112730,218,204
1997,AZ,Wood and Wood Derived Fuels,0,1234,264
1997,CA,All Sources,100252646,256670,266562
1997,CA,Coal,7354636,52102,18784
1997,CA,Geothermal,653380,0,0
1997,CA,Natural Gas,85478608,420,176806
1997,CA,Other,966246,4876,4574
1997,CA,Other Biomass,0,46,16198
1997,CA,Other Gases,16,22,5446
1997,CA,Petroleum,5799760,195652,35796
1997,CA,Wood and Wood Derived Fuels,0,3558,8952
1997,CO,All Sources,69623918,184200,166042
1997,CO,Coal,66011524,183952,153166
1997,CO,Natural Gas,3576302,20,10952
1997,CO,Other Biomass,0,166,1630
1997,CO,Petroleum,36092,64,288
1997,CT,All Sources,28991934,106156,55608
1997,CT,Coal,8416810,22090,14780
1997,CT,Natural Gas,3524466,10,5136
1997,CT,Other,2400198,9166,10912
1997,CT,Other Biomass,0,0,98
1997,CT,Other Gases,112,0,0
1997,CT,Petroleum,14650348,74888,24688
1997,DC,All Sources,181640,876,470
1997,DC,Petroleum,181640,876,470
1997,DE,All Sources,13795108,131488,36676
1997,DE,Coal,8365298,67036,25258
1997,DE,Natural Gas,1768182,0,350
1997,DE,Other Gases,0,4,770
1997,DE,Petroleum,3661628,64448,10300
1997,FL,All Sources,230520310,1403358,639052
1997,FL,Coal,139117846,929018,398360
1997,FL,Natural Gas,41430422,120,51460
1997,FL,Other,4852046,12638,26588
1997,FL,Other Biomass,0,104,3758
1997,FL,Other Gases,78348,24,614
1997,FL,Petroleum,45041648,425778,141420
1997,FL,Wood and Wood Derived Fuels,0,35656,16836
1997,GA,All Sources,149850538,1111008,381204
1997,GA,Coal,141425566,972746,335566
1997,GA,Natural Gas,3323250,18,7918
1997,GA,Other,299826,1842,1042
1997,GA,Other Biomass,0,226,758
1997,GA,Petroleum,4801896,68022,12124
1997,GA,Wood and Wood Derived Fuels,0,68164,23810
1997,HI,All Sources,16920734,87066,54490
1997,HI,Coal,3417210,8746,9086
1997,HI,Geothermal,12608,0,0
1997,HI,Other,450182,902,2420
1997,HI,Other Biomass,0,72,1182
1997,HI,Other Gases,0,0,184
1997,HI,Petroleum,13040734,77346,41618
1997,HI,Wood and Wood Derived Fuels,0,0,4
1997,IA,All Sources,71661218,325362,164032
1997,IA,Coal,69228052,306408,154234
1997,IA,Natural Gas,1901380,10,5274
1997,IA,Other,312944,3524,836
1997,IA,Other Biomass,0,0,994
1997,IA,Petroleum,218842,15416,2676
1997,IA,Wood and Wood Derived Fuels,0,0,6
1997,ID,All Sources,1704622,12204,6950
1997,ID,Coal,484948,5452,1332
1997,ID,Natural Gas,1045134,4,2512
1997,ID,Other,74626,752,212
1997,ID,Petroleum,99914,214,114
1997,ID,Wood and Wood Derived Fuels,0,5782,2782
1997,IL,All Sources,172296414,1697948,624470
1997,IL,Coal,164038546,1683606,598952
1997,IL,Natural Gas,6532614,6,10086
1997,IL,Other,517562,10068,3800
1997,IL,Other Biomass,0,18,2512
1997,IL,Other Gases,0,4,418
1997,IL,Petroleum,1207692,4216,8486
1997,IL,Wood and Wood Derived Fuels,0,24,214
1997,IN,All Sources,227339502,1880266,729648
1997,IN,Coal,220773954,1871556,705240
1997,IN,Natural Gas,3617620,14,7756
1997,IN,Other,622846,1044,3070
1997,IN,Other Biomass,0,0,1910
1997,IN,Other Gases,0,350,8976
1997,IN,Petroleum,2325082,7298,2692
1997,KS,All Sources,62407920,198170,155980
1997,KS,Coal,59321424,196354,141752
1997,KS,Natural Gas,2821362,2,8818
1997,KS,Petroleum,265134,1818,5410
1997,KY,All Sources,166207996,1214060,655292
1997,KY,Coal,165741798,1213844,654030
1997,KY,Natural Gas,238352,0,590
1997,KY,Petroleum,227846,210,562
1997,KY,Wood and Wood Derived Fuels,0,12,108
1997,LA,All Sources,103712048,382718,270618
1997,LA,Coal,43887944,212352,82584
1997,LA,Natural Gas,54559078,290,125394
1997,LA,Other,45876,472,474
1997,LA,Other Biomass,0,144,350
1997,LA,Other Gases,0,8,702
1997,LA,Petroleum,5219150,127764,44112
1997,LA,Wood and Wood Derived Fuels,0,41676,17010
1997,MA,All Sources,57993024,272180,124542
1997,MA,Coal,22799852,143232,41858
1997,MA,Natural Gas,14018568,62,29448
1997,MA,Other,2639922,4890,14326
1997,MA,Other Biomass,0,0,1568
1997,MA,Petroleum,18534682,123932,36852
1997,MA,Wood and Wood Derived Fuels,0,54,488
1997,MD,All Sources,58461840,490392,211974
1997,MD,Coal,52002850,461442,186640
1997,MD,Natural Gas,2062276,4,4224
1997,MD,Other,1108342,2210,5752
1997,MD,Other Biomass,0,0,996
1997,MD,Other Gases,2,8,214
1997,MD,Petroleum,3288370,23138,13274
1997,MD,Wood and Wood Derived Fuels,0,3590,880
1997,ME,All Sources,9464084,93142,34964
1997,ME,Coal,1564504,7284,3624
1997,ME,Natural Gas,7662,0,14
1997,ME,Other,778496,2962,3340
1997,ME,Other Biomass,0,178,330
1997,ME,Other Gases,19550,0,8
1997,ME,Petroleum,7093872,59304,13050
1997,ME,Wood and Wood Derived Fuels,0,23414,14594
1997,MI,All Sources,154817304,847036,412010
1997,MI,Coal,134835650,797594,345652
1997,MI,Natural Gas,16494736,74,38344
1997,MI,Other,1006082,2220,4734
1997,MI,Other Biomass,0,112,8828
1997,MI,Other Gases,438,0,6
1997,MI,Petroleum,2480398,37502,7456
1997,MI,Wood and Wood Derived Fuels,0,9532,6984
1997,MN,All Sources,70474178,216234,197118
1997,MN,Coal,66464460,199056,181742
1997,MN,Natural Gas,1838370,2,4028
1997,MN,Other,422300,658,1938
1997,MN,Other Biomass,0,228,1806
1997,MN,Petroleum,1749048,784,1550
1997,MN,Wood and Wood Derived Fuels,0,15498,6064
1997,MO,All Sources,125147426,579842,368416
1997,MO,Coal,123928234,578540,364362
1997,MO,Natural Gas,912668,0,2394
1997,MO,Other,19602,204,42
1997,MO,Other Biomass,0,14,76
1997,MO,Petroleum,286922,1080,1532
1997,MS,All Sources,39541504,233850,110682
1997,MS,Coal,24341362,139274,55676
1997,MS,Natural Gas,10900258,22,11240
1997,MS,Other,10316,108,22
1997,MS,Petroleum,4289568,66496,33024
1997,MS,Wood and Wood Derived Fuels,0,27956,10720
1997,MT,All Sources,32741892,49534,71598
1997,MT,Coal,30910804,41198,64554
1997,MT,Natural Gas,448396,2,1022
1997,MT,Other Gases,1556,0,8
1997,MT,Petroleum,1381136,4098,4484
1997,MT,Wood and Wood Derived Fuels,0,4236,1528
1997,NC,All Sources,142311418,1054960,560942
1997,NC,Coal,138300070,1010206,540822
1997,NC,Natural Gas,1159498,2,2584
1997,NC,Other,99120,204,720
1997,NC,Other Biomass,0,88,254
1997,NC,Petroleum,2752730,16438,6472
1997,NC,Wood and Wood Derived Fuels,0,28022,10092
1997,ND,All Sources,59344896,325404,172644
1997,ND,Coal,59121020,324456,171810
1997,ND,Natural Gas,3000,0,6
1997,ND,Other Biomass,0,16,56
1997,ND,Other Gases,0,2,440
1997,ND,Petroleum,220876,934,336
1997,NE,All Sources,36777266,114046,89400
1997,NE,Coal,36380008,113916,88050
1997,NE,Natural Gas,336766,0,966
1997,NE,Other Biomass,0,0,34
1997,NE,Petroleum,60492,128,346
1997,NH,All Sources,10627214,108362,43490
1997,NH,Coal,8277588,89152,32884
1997,NH,Natural Gas,71960,0,76
1997,NH,Other,211426,392,1150
1997,NH,Other Biomass,0,6,1268
1997,NH,Petroleum,2066240,18416,4612
1997,NH,Wood and Wood Derived Fuels,0,398,3496
1997,NJ,All Sources,39958242,144062,127028
1997,NJ,Coal,18554572,133186,70880
1997,NJ,Natural Gas,18372184,74,41978
1997,NJ,Other,1715592,3194,9364
1997,NJ,Other Biomass,0,288,1094
1997,NJ,Other Gases,0,2,414
1997,NJ,Petroleum,1315894,7298,3286
1997,NM,All Sources,60728028,150178,154828
1997,NM,Coal,55720714,150116,145812
1997,NM,Natural Gas,4968904,20,8860
1997,NM,Other Biomass,0,0,14
1997,NM,Petroleum,38410,42,140
1997,NV,All Sources,38681154,91020,90656
1997,NV,Coal,30287020,90874,70778
1997,NV,Geothermal,73544,0,0
1997,NV,Natural Gas,8256916,24,16394
1997,NV,Other,0,0,66
1997,NV,Petroleum,63674,122,3416
1997,NY,All Sources,117240262,567380,255452
1997,NY,Coal,50665040,482254,114968
1997,NY,Natural Gas,48359136,140,74640
1997,NY,Other,3006806,5790,17028
1997,NY,Other Biomass,0,0,7014
1997,NY,Other Gases,2112,4,92
1997,NY,Petroleum,15207168,75162,39126
1997,NY,Wood and Wood Derived Fuels,0,4016,2560
1997,OH,All Sources,242776590,2706976,1006380
1997,OH,Coal,239313114,2654376,988734
1997,OH,Natural Gas,1509654,2,4180
1997,OH,Other,530,6,2
1997,OH,Other Biomass,0,10,2
1997,OH,Other Gases,1326,18,2306
1997,OH,Petroleum,1951966,33216,5230
1997,OH,Wood and Wood Derived Fuels,0,19338,5932
1997,OK,All Sources,90424388,217984,192192
1997,OK,Coal,73930480,212248,150150
1997,OK,Natural Gas,16335560,124,38644
1997,OK,Other,2892,6,16
1997,OK,Other Gases,0,2,474
1997,OK,Petroleum,155456,852,1300
1997,OK,Wood and Wood Derived Fuels,0,4748,1606
1997,OR,All Sources,6769318,18202,14446
1997,OR,Coal,3045044,13322,6662
1997,OR,Natural Gas,3538610,18,4154
1997,OR,Other,142564,294,862
1997,OR,Petroleum,43100,202,74
1997,OR,Wood and Wood Derived Fuels,0,4368,2696
1997,PA,All Sources,235087160,2215988,554990
1997,PA,Coal,222253068,2103662,487212
1997,PA,Natural Gas,3556150,10,20070
1997,PA,Other,2439362,5488,13202
1997,PA,Other Biomass,0,102,2632
1997,PA,Other Gases,1880,74,2390
1997,PA,Petroleum,6836700,98822,26626
1997,PA,Wood and Wood Derived Fuels,0,7812,2862
1997,RI,All Sources,7156438,2674,13350
1997,RI,Natural Gas,6720228,26,9990
1997,RI,Other Biomass,0,2,2304
1997,RI,Petroleum,436210,2646,1062
1997,SC,All Sources,62924564,411004,210224
1997,SC,Coal,60915698,377028,195154
1997,SC,Natural Gas,638382,2,1102
1997,SC,Other,186378,346,1020
1997,SC,Other Biomass,0,158,284
1997,SC,Other Gases,5728,0,2
1997,SC,Petroleum,1178378,8654,2966
1997,SC,Wood and Wood Derived Fuels,0,24808,9700
1997,SD,All Sources,7120304,48624,42918
1997,SD,Coal,6911938,48520,42376
1997,SD,Natural Gas,188682,0,200
1997,SD,Other,0,68,240
1997,SD,Petroleum,19684,34,100
1997,TN,All Sources,124164298,1122484,538358
1997,TN,Coal,122530358,1114620,528936
1997,TN,Natural Gas,936980,2,2232
1997,TN,Other,349092,858,1548
1997,TN,Other Biomass,0,4,576
1997,TN,Other Gases,240,2,60
1997,TN,Petroleum,347628,654,1844
1997,TN,Wood and Wood Derived Fuels,0,6340,3162
1997,TX,All Sources,479021390,1554422,985808
1997,TX,Coal,288130264,1303302,472992
1997,TX,Natural Gas,182837414,710,412902
1997,TX,Other,33208,1300,3870
1997,TX,Other Biomass,0,380,1080
1997,TX,Other Gases,0,98,11006
1997,TX,Petroleum,8020504,215808,73308
1997,TX,Wood and Wood Derived Fuels,0,32830,10642
1997,UT,All Sources,61915714,61086,133976
1997,UT,Coal,61328014,60964,130956
1997,UT,Geothermal,8658,0,0
1997,UT,Natural Gas,490270,2,2308
1997,UT,Other Gases,5966,22,568
1997,UT,Petroleum,82806,102,140
1997,VA,All Sources,80082264,556154,267492
1997,VA,Coal,71234800,505856,226378
1997,VA,Natural Gas,2964544,10,8904
1997,VA,Other,1466006,3072,7712
1997,VA,Other Biomass,0,18,3058
1997,VA,Other Gases,868,0,0
1997,VA,Petroleum,4416046,21846,12698
1997,VA,Wood and Wood Derived Fuels,0,25344,8734
1997,VT,All Sources,34744,178,1276
1997,VT,Natural Gas,3828,0,296
1997,VT,Petroleum,30916,90,222
1997,VT,Wood and Wood Derived Fuels,0,86,758
1997,WA,All Sources,20451322,137544,52472
1997,WA,Coal,15291116,118080,30290
1997,WA,Natural Gas,4084496,22,11798
1997,WA,Other,218500,456,1340
1997,WA,Other Biomass,0,532,954
1997,WA,Other Gases,0,2,52
1997,WA,Petroleum,857210,3636,3008
1997,WA,Wood and Wood Derived Fuels,0,14814,5028
1997,WI,All Sources,99264068,512656,242076
1997,WI,Coal,94432010,461602,221692
1997,WI,Natural Gas,2961752,6,4740
1997,WI,Other,143830,5284,2254
1997,WI,Other Biomass,0,12,3050
1997,WI,Petroleum,1726476,28920,4956
1997,WI,Wood and Wood Derived Fuels,0,16834,5382
1997,WV,All Sources,166735868,1274424,599750
1997,WV,Coal,165158876,1272908,594908
1997,WV,Natural Gas,1154328,6,2686
1997,WV,Other,0,0,2
1997,WV,Other Gases,0,54,1392
1997,WV,Petroleum,422664,1456,766
1997,WY,All Sources,84153734,196932,185294
1997,WY,Coal,83392842,195130,182850
1997,WY,Natural Gas,533324,2,1622
1997,WY,Other,0,0,78
1997,WY,Other Gases,0,0,186
1997,WY,Petroleum,227568,1798,558
1998,AK,All Sources,8603492,34974,36546
1998,AK,Coal,2920590,26290,6556
1998,AK,Natural Gas,4270596,24,17234
1998,AK,Petroleum,1412306,8652,12730
1998,AK,Wood and Wood Derived Fuels,0,2,22
1998,AL,All Sources,150755964,1163814,417634
1998,AL,Coal,140824264,1086736,361160
1998,AL,Natural Gas,8643200,46,23126
1998,AL,Other,25362,268,62
1998,AL,Other Biomass,0,32,68
1998,AL,Other Gases,0,40,1046
1998,AL,Petroleum,1263138,8148,4362
1998,AL,Wood and Wood Derived Fuels,0,68536,27800
1998,AR,All Sources,56638316,167816,107122
1998,AR,Coal,48430844,140278,75952
1998,AR,Natural Gas,7794728,32,18852
1998,AR,Other,20634,216,44
1998,AR,Other Biomass,0,0,362
1998,AR,Petroleum,392110,1972,2158
1998,AR,Wood and Wood Derived Fuels,0,25318,9752
1998,AZ,All Sources,77394330,191960,164268
1998,AZ,Coal,72650662,191848,152360
1998,AZ,Natural Gas,4640390,30,11660
1998,AZ,Petroleum,103278,76,244
1998,CA,All Sources,106379044,253988,268890
1998,CA,Coal,7153766,52262,17850
1998,CA,Geothermal,659730,0,0
1998,CA,Natural Gas,91568422,394,173744
1998,CA,Other,955586,4824,4544
1998,CA,Other Biomass,0,70,21722
1998,CA,Other Gases,1594,24,6574
1998,CA,Petroleum,6039946,192914,34106
1998,CA,Wood and Wood Derived Fuels,0,3492,10340
1998,CO,All Sources,72373670,182784,157524
1998,CO,Coal,67932370,182476,144570
1998,CO,Natural Gas,4303396,20,9720
1998,CO,Other Biomass,0,0,1486
1998,CO,Petroleum,137904,286,1746
1998,CT,All Sources,26672798,101318,53544
1998,CT,Coal,6071836,12382,11712
1998,CT,Natural Gas,3048460,12,5060
1998,CT,Other,2468046,9464,11368
1998,CT,Other Biomass,0,0,270
1998,CT,Other Gases,484,0,0
1998,CT,Petroleum,15083972,79462,25128
1998,DC,All Sources,525716,2390,1198
1998,DC,Petroleum,525716,2390,1198
1998,DE,All Sources,13302480,81294,29410
1998,DE,Coal,8103696,69086,23606
1998,DE,Natural Gas,1148168,0,264
1998,DE,Other,0,0,8
1998,DE,Other Gases,0,0,116
1998,DE,Petroleum,4050616,12204,5410
1998,FL,All Sources,252514830,1613556,707094
1998,FL,Coal,139234012,921892,380766
1998,FL,Natural Gas,39251976,112,55098
1998,FL,Other,4534808,11546,27174
1998,FL,Other Biomass,0,566,5718
1998,FL,Other Gases,168432,20,830
1998,FL,Petroleum,69325602,650640,224290
1998,FL,Wood and Wood Derived Fuels,0,28768,13190
1998,GA,All Sources,154404510,1140934,380124
1998,GA,Coal,142639572,993270,328096
1998,GA,Natural Gas,5518222,14,10668
1998,GA,Other,208616,1086,796
1998,GA,Other Biomass,0,220,750
1998,GA,Petroleum,6038100,79684,15974
1998,GA,Wood and Wood Derived Fuels,0,66638,23832
1998,HI,All Sources,16725856,92652,55376
1998,HI,Coal,2989662,7292,7910
1998,HI,Geothermal,12182,0,0
1998,HI,Other,437168,918,2332
1998,HI,Other Biomass,0,132,2058
1998,HI,Other Gases,16,0,328
1998,HI,Petroleum,13286828,84308,42748
1998,IA,All Sources,78857358,359346,177122
1998,IA,Coal,76838334,345102,167718
1998,IA,Natural Gas,1691638,8,4594
1998,IA,Other,62672,748,302
1998,IA,Other Biomass,0,0,1966
1998,IA,Petroleum,264714,13490,2536
1998,IA,Wood and Wood Derived Fuels,0,0,6
1998,ID,All Sources,1869426,13050,7614
1998,ID,Coal,805780,6924,2058
1998,ID,Natural Gas,1060282,4,2540
1998,ID,Other,374,4,62
1998,ID,Petroleum,2990,20,14
1998,ID,Wood and Wood Derived Fuels,0,6096,2936
1998,IL,All Sources,172772102,1696826,594880
1998,IL,Coal,160622198,1660284,558262
1998,IL,Natural Gas,9353276,12,16808
1998,IL,Other,217732,7200,2942
1998,IL,Other Biomass,0,10,3932
1998,IL,Other Gases,0,6,382
1998,IL,Petroleum,2578896,29304,12544
1998,IL,Wood and Wood Derived Fuels,0,0,6
1998,IN,All Sources,230336022,1835294,699636
1998,IN,Coal,221941974,1823058,672512
1998,IN,Natural Gas,4506124,16,9906
1998,IN,Other,608392,1044,3068
1998,IN,Other Biomass,0,0,1918
1998,IN,Other Gases,0,332,8542
1998,IN,Petroleum,3279532,10834,3686
1998,KS,All Sources,63688430,213600,154676
1998,KS,Coal,59297738,213086,135412
1998,KS,Natural Gas,4135228,8,15804
1998,KS,Petroleum,255464,502,3462
1998,KY,All Sources,166502956,1134124,580358
1998,KY,Coal,164799072,1133824,577554
1998,KY,Natural Gas,628846,0,2016
1998,KY,Petroleum,1075038,282,664
1998,KY,Wood and Wood Derived Fuels,0,14,120
1998,LA,All Sources,112994556,378472,306036
1998,LA,Coal,43736960,199002,82328
1998,LA,Natural Gas,63825816,394,158344
1998,LA,Other,314066,3194,2314
1998,LA,Other Biomass,0,130,540
1998,LA,Other Gases,0,16,3144
1998,LA,Petroleum,5117714,132630,42652
1998,LA,Wood and Wood Derived Fuels,0,43106,16708
1998,MA,All Sources,59362776,297992,121906
1998,MA,Coal,20389986,128148,39604
1998,MA,Natural Gas,12303708,40,19648
1998,MA,Other,2512448,4682,13620
1998,MA,Other Biomass,0,0,1996
1998,MA,Petroleum,24156634,165040,46364
1998,MA,Wood and Wood Derived Fuels,0,76,674
1998,MD,All Sources,64705994,548482,232912
1998,MD,Coal,54656028,494738,197614
1998,MD,Natural Gas,2537150,4,5066
1998,MD,Other,1105310,2258,5896
1998,MD,Other Biomass,0,0,1010
1998,MD,Other Gases,2,8,196
1998,MD,Petroleum,6407504,47742,22232
1998,MD,Wood and Wood Derived Fuels,0,3726,898
1998,ME,All Sources,11179522,108496,36968
1998,ME,Coal,1359454,5404,3074
1998,ME,Natural Gas,5900,0,14
1998,ME,Other,821708,3004,3386
1998,ME,Other Biomass,0,322,1358
1998,ME,Other Gases,18032,0,8
1998,ME,Petroleum,8974428,75528,16672
1998,ME,Wood and Wood Derived Fuels,0,24240,12464
1998,MI,All Sources,164269278,882140,460266
1998,MI,Coal,142856228,822716,391164
1998,MI,Natural Gas,17118948,62,34408
1998,MI,Other,943944,2720,4682
1998,MI,Other Biomass,0,80,8902
1998,MI,Other Gases,6234,0,4
1998,MI,Petroleum,3343924,47020,13670
1998,MI,Wood and Wood Derived Fuels,0,9538,7416
1998,MN,All Sources,72616932,198036,191068
1998,MN,Coal,68027606,189886,171654
1998,MN,Natural Gas,2811074,6,10606
1998,MN,Other,330128,656,1934
1998,MN,Other Biomass,0,10,1414
1998,MN,Petroleum,1448124,940,1266
1998,MN,Wood and Wood Derived Fuels,0,6530,4180
1998,MO,All Sources,132637446,552714,395174
1998,MO,Coal,130159724,547788,385326
1998,MO,Natural Gas,1837864,8,5650
1998,MO,Other,10316,2636,482
1998,MO,Other Biomass,0,0,50
1998,MO,Petroleum,629542,2278,3666
1998,MS,All Sources,43047342,297824,125824
1998,MS,Coal,23151090,142906,54282
1998,MS,Natural Gas,11134396,54,14464
1998,MS,Other,5158,54,10
1998,MS,Petroleum,8756698,134948,48928
1998,MS,Wood and Wood Derived Fuels,0,19862,8138
1998,MT,All Sources,37421122,53086,80506
1998,MT,Coal,35611250,44804,73566
1998,MT,Natural Gas,417622,2,946
1998,MT,Other Gases,136,0,8
1998,MT,Petroleum,1392114,4272,4538
1998,MT,Wood and Wood Derived Fuels,0,4008,1446
1998,NC,All Sources,142225588,1017726,499846
1998,NC,Coal,136981292,967046,477524
1998,NC,Natural Gas,2042074,4,4090
1998,NC,Other,95290,194,702
1998,NC,Other Biomass,0,68,230
1998,NC,Petroleum,3106932,22048,7514
1998,NC,Wood and Wood Derived Fuels,0,28366,9782
1998,ND,All Sources,63330250,356880,180916
1998,ND,Coal,63149958,355242,180078
1998,ND,Natural Gas,3380,0,8
1998,ND,Other,0,920,56
1998,ND,Other Biomass,0,16,118
1998,ND,Other Gases,0,2,410
1998,ND,Petroleum,176912,702,246
1998,NE,All Sources,39343258,105640,92850
1998,NE,Coal,38665072,105386,88568
1998,NE,Natural Gas,595974,0,1744
1998,NE,Other Biomass,0,0,732
1998,NE,Petroleum,82212,256,1804
1998,NH,All Sources,10391608,105234,35668
1998,NH,Coal,7181220,72976,21788
1998,NH,Natural Gas,31354,0,82
1998,NH,Other,190256,392,1150
1998,NH,Other Biomass,0,2,2676
1998,NH,Petroleum,2988778,31458,6414
1998,NH,Wood and Wood Derived Fuels,0,404,3556
1998,NJ,All Sources,37875308,123914,121388
1998,NJ,Coal,16014780,111438,58604
1998,NJ,Natural Gas,18553598,66,45974
1998,NJ,Other,1750752,3254,9632
1998,NJ,Other Biomass,0,104,2050
1998,NJ,Other Gases,0,8,2056
1998,NJ,Petroleum,1556178,9034,3060
1998,NM,All Sources,61895448,147936,157010
1998,NM,Coal,56086516,147850,146410
1998,NM,Natural Gas,5763400,26,10354
1998,NM,Other Biomass,0,0,20
1998,NM,Petroleum,45532,60,230
1998,NV,All Sources,42681396,90404,95914
1998,NV,Coal,33260862,90100,76512
1998,NV,Geothermal,70518,0,0
1998,NV,Natural Gas,9252960,36,14932
1998,NV,Other,0,0,50
1998,NV,Petroleum,97056,270,4420
1998,NY,All Sources,125308358,665520,268626
1998,NY,Coal,52440634,511898,122366
1998,NY,Natural Gas,44277682,110,68498
1998,NY,Other,2926898,5598,16460
1998,NY,Other Biomass,0,0,7082
1998,NY,Other Gases,1310,4,78
1998,NY,Petroleum,25661834,143882,52090
1998,NY,Wood and Wood Derived Fuels,0,4024,2022
1998,OH,All Sources,250618258,2642650,966266
1998,OH,Coal,246824800,2588888,948022
1998,OH,Natural Gas,1824482,2,4196
1998,OH,Other,1596,18,4
1998,OH,Other Gases,3314,40,2850
1998,OH,Petroleum,1964066,35686,5616
1998,OH,Wood and Wood Derived Fuels,0,18014,5582
1998,OK,All Sources,91508808,204172,191734
1998,OK,Coal,70189242,198382,140548
1998,OK,Natural Gas,21235380,80,45088
